Date,Open,High,Low,Close,Adj Close,Volume
2021-05-19,535.599976,541.200012,529.799988,539.400024,536.679443,2770339
2021-05-20,546.599976,546.799988,537.000000,538.799988,536.082458,1961274
2021-05-21,536.000000,542.599976,523.400024,529.799988,527.127869,2880423
2021-05-24,531.400024,535.799988,527.400024,535.599976,532.898560,1756383
2021-05-25,538.799988,545.799988,533.000000,542.400024,539.664307,2306931
2021-05-26,534.799988,548.400024,534.799988,545.000000,542.251221,1837706
2021-05-27,544.400024,548.799988,540.799988,540.799988,538.072388,6513567
2021-05-28,543.200012,551.000000,542.400024,544.000000,541.256226,3226860
2021-06-01,543.400024,554.853027,541.400024,546.000000,543.246155,2538059
2021-06-02,545.799988,548.200012,536.609985,545.400024,542.649170,1873467
2021-06-03,545.599976,556.000000,533.200012,538.200012,535.485474,1851535
2021-06-04,536.400024,541.200012,534.000000,540.599976,537.873352,1487193
2021-06-07,545.000000,555.200012,540.400024,553.000000,550.210815,2120902
2021-06-08,552.599976,556.200012,548.000000,553.400024,550.608826,3019092
2021-06-09,552.599976,567.200012,549.000000,564.799988,561.951294,5329420
2021-06-10,565.000000,570.000000,554.799988,557.799988,554.986633,1930238
2021-06-11,558.400024,558.400024,541.200012,543.200012,540.460266,4930852
2021-06-14,546.000000,546.000000,521.799988,530.000000,527.326843,4227089
2021-06-15,532.799988,538.599976,528.799988,536.000000,533.296570,5280636
2021-06-16,536.000000,545.200012,532.799988,544.400024,541.654236,4459654
2021-06-17,541.000000,549.599976,539.000000,542.200012,539.465332,3793910
2021-06-18,543.599976,547.000000,520.799988,521.799988,519.168213,4687716
2021-06-21,517.400024,533.599976,511.536987,531.599976,528.918762,4788123
2021-06-22,535.400024,540.799988,528.200012,529.000000,526.331909,10065549
2021-06-23,530.000000,531.000000,515.799988,515.799988,513.198425,6063285
2021-06-24,518.799988,518.799988,502.600006,505.600006,503.049927,9808824
2021-06-25,508.200012,508.200012,501.399994,503.600006,501.059998,5322667
2021-06-28,505.000000,519.000000,504.200012,505.000000,502.452942,8147388
2021-06-29,504.799988,513.799988,503.125000,503.200012,500.662018,4399662
2021-06-30,505.200012,506.399994,493.799988,501.600006,499.070099,5647288
2021-07-01,505.399994,513.400024,501.600006,512.599976,510.014587,7445803
2021-07-02,523.000000,532.599976,520.000000,529.000000,526.331909,5688097
2021-07-05,527.799988,529.400024,517.000000,523.400024,520.760132,6308004
2021-07-06,521.799988,542.799988,510.399994,535.599976,532.898560,9794206
2021-07-07,533.200012,538.400024,512.400024,512.400024,509.815643,4306397
2021-07-08,509.000000,515.200012,495.200012,498.799988,496.284210,2945304
2021-07-09,501.600006,512.000000,498.799988,507.799988,505.238800,5204041
2021-07-12,507.000000,509.000000,493.799988,500.399994,497.876129,2879639
2021-07-13,502.600006,506.799988,496.250000,497.600006,495.090271,1867491
2021-07-14,493.200012,501.000000,493.200012,496.799988,494.294281,2609659
2021-07-15,496.399994,497.399994,482.100006,488.200012,485.737671,3173672
2021-07-16,491.899994,495.100006,483.299988,490.000000,487.528595,2695812
2021-07-19,484.500000,484.500000,471.200012,475.299988,472.902710,2344897
2021-07-20,478.100006,488.582001,471.799988,480.600006,478.176025,17479331
2021-07-21,482.799988,500.399994,482.600006,497.399994,494.891266,5551955
2021-07-22,498.899994,509.799988,498.799988,498.799988,496.284210,4056648
2021-07-23,502.200012,508.600006,497.399994,499.899994,497.378662,1922881
2021-07-26,497.100006,502.799988,492.600006,500.000000,497.478149,4199949
2021-07-27,497.700012,498.399994,480.200012,487.000000,484.543732,5505171
2021-07-28,487.000000,493.000000,483.799988,484.000000,481.558868,14991618
2021-07-29,485.000000,517.000000,485.000000,511.799988,509.218628,6216660
2021-07-30,506.799988,510.799988,490.200012,495.000000,492.503387,6773264
2021-08-02,504.600006,507.600006,493.799988,495.500000,493.000854,3021133
2021-08-03,495.000000,496.500000,490.899994,492.500000,490.015991,5186066
2021-08-04,494.299988,499.549988,490.399994,499.299988,496.781677,4036493
2021-08-05,495.399994,521.400024,494.500000,518.200012,515.586365,5002993
2021-08-06,521.000000,521.200012,510.799988,513.400024,510.810608,3416188
2021-08-09,512.200012,513.400024,500.600006,508.000000,505.437805,5814536
2021-08-10,508.000000,536.400024,505.799988,532.000000,529.316772,5723575
2021-08-11,533.000000,547.799988,532.400024,542.599976,539.863281,5218797
2021-08-12,543.599976,548.799988,542.799988,547.000000,544.241089,4457505
2021-08-13,547.599976,556.599976,547.200012,552.000000,549.215881,4132574
2021-08-16,547.400024,555.400024,544.200012,546.599976,543.843079,5919570
2021-08-17,543.599976,551.599976,539.200012,542.200012,539.465332,2310935
2021-08-18,540.000000,553.000000,538.000000,553.000000,550.210815,2188626
